,logFC,AveExpr,t,P.Value,adj.P.Val,B
TEK,-3.21185749392935,3.05903481787482,-24.9970705462996,3.07585088982096e-92,2.74673484461012e-89,199.667943915644
AC018647.1,-1.0650105021137,0.440764444112321,-24.8066055415362,2.81164509265797e-91,2.47332445479217e-88,197.466278460558
STXBP6,-3.02109889653197,1.5646242180547,-24.726454873797,7.13698809277477e-91,6.18587947370529e-88,196.539421371754
KANK3,-2.60892000066702,2.38949822676831,-24.6391234397953,1.96974558735373e-90,1.68250529605006e-87,195.529297798249
NCKAP5,-3.1975621658377,1.49534055916516,-24.5819399695362,3.82960976028849e-90,3.22442200074118e-87,194.867758579927
ODAM,-2.28977096700693,0.755525316375915,-24.5231254478129,7.58885031522139e-90,6.29960084335941e-87,194.187252278811
OTUD1,-2.02443416052125,4.44478645592888,-24.4171279384401,2.60362531850156e-89,2.1020886167376e-86,192.960581946082
AC093110.1,-2.67964524217265,1.56332379070559,-24.4048172766015,3.00447592144536e-89,2.39294326835334e-86,192.818096030542
ST8SIA6,-2.54415049515796,1.16355509908578,-24.344580899142,6.0546663716335e-89,4.75799902148447e-86,192.120853847862
LINC01552,-1.92890260218159,0.543649326960164,-24.3147392303949,8.56776957033138e-89,6.64430530179199e-86,191.775400511331
ACVRL1,-2.55454128535608,4.45790033062708,-24.2060221350046,3.03559335579786e-88,2.32352988576642e-85,190.516693361495
EDNRB,-3.59612788892577,3.42341016597522,-24.1614727789504,5.0979399563547e-88,3.85208186086709e-85,190.000833223025
ASPA,-1.60377715312433,0.775292401686957,-24.1528274660239,5.63754340982018e-88,4.20589282896179e-85,189.900719794527
GPD1,-3.86799642030194,2.13593758155945,-24.0919476364211,1.14500409021937e-87,8.43553138366868e-85,189.195683226669
CCDC141,-1.41969609136053,0.466575042188122,-24.0451196100103,1.97478571149801e-87,1.43691259585518e-84,188.65332808149
AC010776.3,-1.15135382454003,0.234064877702968,-24.0263827655206,2.45605701756201e-87,1.76530595733012e-84,188.436309199016
LIMS2,-2.68741609429657,2.89806456775388,-23.9770544256443,4.36129653087536e-87,3.09694090285219e-84,187.864934951037
RPL13AP17,-3.39890349159425,1.20196913010566,-23.9545188264403,5.66955785841557e-87,3.97800477451544e-84,187.603889061869
AC009093.3,-3.30552098526873,1.3135179149767,-23.9432790145407,6.46213187055945e-87,4.48076621396509e-84,187.473687098695
RGCC,-2.97653947610027,7.11930269787927,-23.9044276495719,1.01580071885979e-86,6.96154218234398e-84,187.02361690494
AKAP2,-1.08708092817931,0.500517386080046,-23.8835766001937,1.29489827449705e-86,8.77226603474792e-84,186.782059799512
HSPA12B,-2.57667523038275,2.85218214828188,-23.864256123814,1.62153521707324e-86,1.0860232116348e-83,186.558228198344
RAMP2,-2.91509011700141,5.23250343187073,-23.8536694075004,1.83424491176521e-86,1.21468232145638e-83,186.435576561931
LINC01863,-2.16936835648065,0.80057372580763,-23.8138228484535,2.9170545514687e-86,1.91028179060514e-83,185.973922361641
UPK3B,-5.10519781512987,2.89700968077327,-23.8078613808388,3.12672712501428e-86,2.02508838784716e-83,185.904852043609
ECSCR,-2.29136086729697,3.31137566353019,-23.6902000723525,1.23057734510523e-85,7.88345299628392e-83,184.541517006405
PECAM1,-2.39581186997117,6.3043981511071,-23.5814749333045,4.36511520624926e-85,2.73692723431828e-82,183.281581338563
NOVA2,-1.79237104083886,1.37523198838837,-23.5551474182716,5.93139068999228e-85,3.67983478407121e-82,182.97647345757
AGER,-6.50114984405886,5.86835540655398,-23.5093933346517,1.01060142731493e-84,6.20446113782163e-82,182.446217978259
CCDC85A,-1.98774295981235,1.04739151223283,-23.5062917821708,1.04777432862387e-84,6.36636323509626e-82,182.410272693939
CLEC1A,-1.97827890954896,2.00129344219808,-23.3791915003991,4.60438377664028e-84,2.74114314169318e-81,180.937192937484
HTR3C,-1.85864407700502,0.39308940737255,-23.3583053604528,5.87248809104301e-84,3.46112703109893e-81,180.695115524294
JAM2,-2.41992795045807,2.83411793337258,-23.2768044384099,1.51737769502687e-83,8.85457490985087e-81,179.750474499363
LDB2,-2.55527237951839,3.37052946522025,-23.274113574172,1.56568916618013e-83,9.04692039963966e-81,179.719285486746
ADRA1A,-1.18999535821231,0.300979881077683,-23.2533618042768,1.99379030901217e-83,1.14087391487922e-80,179.478757176273
AC093890.1,-2.13483966869128,1.26536353483927,-23.241520721374,2.28864477047337e-83,1.29700139886692e-80,179.341509810148
ADAMTS7P3,-2.67199555369429,0.928938777481632,-23.2209702564736,2.90759898753459e-83,1.63207684883156e-80,179.1033132166
CCM2L,-2.2575934934403,2.17909175206792,-23.2140117753478,3.15307700191111e-83,1.75317030508148e-80,179.022658586204
S1PR1,-2.87951019389149,4.65853917991349,-23.1684260597093,5.36209085477043e-83,2.9535599140043e-80,178.494280330987
FO681492.1,-1.56724959110642,0.634872821567564,-23.1650101419422,5.57973943451446e-83,3.0449878036242e-80,178.454686783593
GPIHBP1,-3.87312859836997,2.46098046185252,-23.1639376373848,5.64988081513253e-83,3.05497867414937e-80,178.442255493519
ANKRD1,-4.62102846549895,2.15914161859151,-23.1402170377622,7.44787194049087e-83,3.99056978571501e-80,178.167312357232
SEMA3G,-2.7842616348557,2.73340263412304,-23.0612022973183,1.86953696327727e-82,9.92673599474197e-80,177.251461905514
ARHGAP6,-1.90662638678875,1.50364701344358,-23.0192089999006,3.04900391205119e-82,1.60448386221851e-79,176.764726308065
AC027288.3,-2.94973690250941,1.40912577467219,-22.9347846501522,8.15102131478173e-82,4.25137074558058e-79,175.786197079572
ROBO4,-2.75002879515113,3.41045142232688,-22.8811474664288,1.52238241526536e-81,7.87071708692191e-79,175.164525697342
LINC02154,-2.7112971691834,1.06237758082667,-22.8443998349309,2.33560295092254e-81,1.19700666714324e-78,174.73861874324
CLEC3B,-4.18136713151034,4.4725543771475,-22.8425407283247,2.38672597729914e-81,1.21266254870738e-78,174.717071828213
PRX,-3.17462126983793,2.97217641527865,-22.805534317217,3.67267353973862e-81,1.85008575286423e-78,174.288175080524
AC093787.1,-2.13703568960899,0.502485859410277,-22.7887107801839,4.46760579296039e-81,2.23145551038559e-78,174.093197035374
CTXND1,-2.04646431631283,0.702417877002799,-22.6917073057063,1.38258408323005e-80,6.84762526869015e-78,172.969012430871
RAMP3,-3.12683040498892,4.90431941367631,-22.6646134395936,1.89547253816223e-80,9.30961337118378e-78,172.65503450196
PKHD1L1,-1.29142950096479,0.456107264273585,-22.5999551311391,4.02447323312229e-80,1.96028432573357e-77,171.905772760899
USHBP1,-1.73761566884401,1.44970370769794,-22.5896913642071,4.53537460556341e-80,2.1732187683146e-77,171.786840565374
ALKAL2,-2.34884397421038,1.1185799274738,-22.5861510036747,4.72625029464606e-80,2.24641725698266e-77,171.745816666292
EPAS1,-2.69851061390368,7.4355760443951,-22.473871607471,1.74691975499946e-79,8.23679652161265e-77,170.444867180963
FHL1,-3.82006336589644,4.05368121289908,-22.4437371570937,2.48106417141988e-79,1.1514091349224e-76,170.095739075395
FGFBP2,-2.70988086913841,1.28651312532836,-22.3428412196089,8.03039634688592e-79,3.66895736350978e-76,168.926899936242
CAV1,-4.06950013733527,6.4289483103209,-22.2879877810265,1.5206354566926e-78,6.84146660660675e-76,168.291521512002
ADRB2,-3.05472647592246,2.57210607140236,-22.285014464649,1.57418116209674e-78,7.02871888876196e-76,168.25708264436
RNU6-955P,-1.65197033697536,0.364998487758088,-22.2690466906685,1.89569170264118e-78,8.40062237370418e-76,168.072136590279
TMEM100,-4.4829186444201,2.92356850711774,-22.2576682576122,2.16412022880775e-78,9.51857597354264e-76,167.940349505506
EMP2,-2.89627651672875,6.52511493404222,-22.2458096692935,2.48439599117484e-78,1.08463208094713e-75,167.803003987134
LYVE1,-3.17149039796953,2.79360938420304,-22.2147693679071,3.5654012572019e-78,1.54512955365416e-75,167.443510805725
KCNT2,-1.8001798227963,0.866251960312002,-22.1655094037453,6.32506706872427e-78,2.72107155398884e-75,166.873049374
SPOCK2,-3.49270392154514,5.09560372172726,-22.1501155621654,7.56588464723782e-78,3.23129064738335e-75,166.694790129348
ADAMTS8,-3.52817831784292,2.01524375851072,-22.1099181477979,1.2077877107708e-77,5.12119367607263e-75,166.229333817526
NMUR1,-1.82799712670613,1.12066450028616,-22.0649613625845,2.03775459752515e-77,8.57865574778124e-75,165.708813621375
BTNL9,-3.27526966476078,2.05585349650709,-22.0374041213213,2.80791746989638e-77,1.17370950241668e-74,165.389774426729
AL354714.3,-1.73135429905077,0.516733595241648,-22.0202308766139,3.42884215180861e-77,1.42316266720631e-74,165.190964055395
GRIK4,-1.01566634150443,0.463685079181973,-21.9428230590438,8.4369676600535e-77,3.47732867096667e-74,164.294931152276
AL136369.1,-2.35300489954285,0.67338489542094,-21.8735268771221,1.8887962834385e-76,7.57291669070055e-74,163.492937592229
AP000438.1,-1.05290193896363,0.372088152551661,-21.8219697857116,3.43991024271883e-76,1.36987452625245e-73,162.89633894867
ACADL,-3.05181228746822,1.68165854934409,-21.8006373621395,4.40823485929177e-76,1.74370836333516e-73,162.649512588389
CD101,-2.27787084110557,2.14882108259546,-21.7502979116829,7.91457007949822e-76,3.10979287563644e-73,162.067119007445
LIN7A,-2.31284104770244,1.49748308858577,-21.7428942564499,8.62591406577216e-76,3.3668484980694e-73,161.981470712132
FGF10,-1.59718467642419,0.548157874446592,-21.7287842623395,1.01633775951095e-75,3.94084966250372e-73,161.818246017853
RGS9,-1.70525215565009,1.23939182406675,-21.7226543409197,1.09139876994313e-75,4.204239261628e-73,161.747337053681
FOXF1,-2.60004931593984,3.09040307430959,-21.699138279049,1.43447610463598e-75,5.48994497759969e-73,161.475322668854
AC004947.1,-1.23862211994579,0.444809751770846,-21.6932357865563,1.53634231144401e-75,5.84186730012173e-73,161.407050494076
CLIC5,-4.19831563478805,3.39523054600687,-21.6459938756351,2.6603395079406e-75,1.00509673025002e-72,160.860662952941
GRK5,-2.52231739831251,3.41962821121052,-21.6230893764913,3.4716251591847e-75,1.30325250721037e-72,160.595784212577
ACTN2,-1.44112931303953,0.580366578201148,-21.6163608669877,3.75395513539432e-75,1.40032030234095e-72,160.51797609125
Z82246.1,-1.16409301557165,0.300753581000614,-21.6100307419351,4.04049124913729e-75,1.49772624680285e-72,160.444776383005
FCN3,-4.5165019600216,3.61036402284988,-21.5883332248508,5.1990761501729e-75,1.90457344672614e-72,160.193883915095
SIRPB1,-2.49934751086328,1.83751034465806,-21.5882733712355,5.20269308295004e-75,1.90457344672614e-72,160.193191840748
AL109741.1,-1.89214382496894,1.36402496204691,-21.5829928769754,5.53189538339912e-75,2.01258549448628e-72,160.132135161698
AC096531.2,-1.82552070904856,0.641923690531901,-21.5821333743991,5.58741625036519e-75,2.02031373597561e-72,160.122197105291
MGAT3,-3.29488237776073,2.34120922962918,-21.556850302674,7.4952217840643e-75,2.67729322126777e-72,159.829872385959
PTPN21,-2.36465660905097,3.24907078243042,-21.5320102893785,1.00025784974138e-74,3.55139741855768e-72,159.542694167402
PCAT19,-2.27339698323314,2.30513942783345,-21.511541284371,1.26875612595906e-74,4.47772147016616e-72,159.306067711735
FRMD3,-2.02384987190479,1.50479265768098,-21.4812499100863,1.80378573606047e-74,6.29062270484806e-72,158.955922808781
TCF21,-3.16170260887917,2.30372852219826,-21.4711905679731,2.02733911916762e-74,7.02866547091182e-72,158.839652721175
SYT15,-1.01590241061696,0.436715036070283,-21.4463131953149,2.70648377626631e-74,9.32834741553121e-72,158.552127320029
GPR146,-1.63199922021055,1.34014185235209,-21.4306147020595,3.24774091152759e-74,1.11287996420705e-71,158.370701831385
CASP12,-1.20343137492578,0.589296455395019,-21.4247124302688,3.47815197090178e-74,1.1833894264929e-71,158.302492677599
AC112206.2,-1.46962767059308,0.600136381949964,-21.4243291513885,3.49366724710312e-74,1.1833894264929e-71,158.298063394767
SOX17,-2.25695931024927,2.0261320576494,-21.3809481637571,5.78158310633581e-74,1.9471711149784e-71,157.796780091331
AC011899.2,-1.87529932214833,1.5319587619952,-21.3796091377189,5.87217200326214e-74,1.96644359959241e-71,157.7813084281
MASP1,-1.59548718019165,0.794339855028653,-21.3259622558947,1.09467067170683e-73,3.64506779938175e-71,157.161514247462
OVCH2,-1.60177813116182,0.554448406336594,-21.3116673364354,1.29225544317545e-73,4.27881748931881e-71,156.996383348527
WWC2,-2.32344620184059,3.54659601801538,-21.3084135892907,1.34199503320679e-73,4.41868733335989e-71,156.958798253256
LINC02570,-1.2211026690468,0.295234939479893,-21.289208934687,1.67710282802765e-73,5.49139369323855e-71,156.73696875206
ADGRE3,-1.89195085000344,1.01647660019057,-21.2715736743777,2.05802610521559e-73,6.7014332922208e-71,156.533281820434
GSTM5,-1.89671144161032,1.41770118802983,-21.2166790604318,3.89142885073739e-73,1.25329526559978e-70,155.899342288034
CDH5,-2.58323488880368,4.66815390190438,-21.1754439661545,6.27892256614786e-73,2.01123444675882e-70,155.423240917865
SH2D3C,-2.22584483388849,3.73931958077484,-21.1419855525367,9.25655749065827e-73,2.94898911018604e-70,155.036989994108
RBP2,-2.65191837509406,1.09116302554904,-21.1286414283383,1.08061464242879e-72,3.42415407502517e-70,154.882958060235
TNR,-1.19781087894126,0.298849725536687,-21.1280404231007,1.08817397610162e-72,3.42966833173674e-70,154.876020833745
ARHGEF26,-2.73796945591951,3.31147688753389,-21.0945107721069,1.60541450861247e-72,5.0329744845001e-70,154.489026718285
PLAC9,-2.62305116519711,3.47112481651129,-21.0891764821482,1.70786571157316e-72,5.32583012215337e-70,154.427464408153
ADCY8,-1.43268994129435,0.313215613227267,-21.0596282309676,2.40582552772567e-72,7.46287078700502e-70,154.08647852184
ABCA8,-2.7286111499006,1.71630328924612,-21.0381148966743,3.08742812379686e-72,9.52705962096018e-70,153.838243787622
CALCRL,-2.79718888481791,4.08097638918432,-21.0259050738691,3.55693602263392e-72,1.09186820469791e-69,153.697369764788
AP001528.2,-1.80449067260363,1.24301630902014,-21.0212048399731,3.75614089899282e-72,1.14113109435484e-69,153.643141684941
AC006273.1,-1.47191188130892,0.728903551260283,-20.9902072884311,5.38025302472976e-72,1.6261607834437e-69,153.285542616388
TGM1,-1.90017550313035,1.46856941415292,-20.9823753439291,5.89155592763772e-72,1.77161491460771e-69,153.19519860321
PRKG2,-2.05503552444533,1.29326635759353,-20.9686398114204,6.90833620363212e-72,2.06681989426228e-69,153.036762812697
SLC19A3,-2.63701956820158,1.63331545566776,-20.9162228067609,1.26822046001581e-71,3.74361173292078e-69,152.432241407336
ARHGEF15,-2.29814163788905,2.85299982711014,-20.9160776210779,1.27035587665709e-71,3.74361173292078e-69,152.430567203372
C2orf91,-1.13588100865948,0.394828109467733,-20.896823434166,1.58787887530798e-71,4.6560400573583e-69,152.208548664974
ANGPTL1,-2.26873214532086,1.60522563617671,-20.8811612791466,1.90382320443976e-71,5.55482831798369e-69,152.027965017433
MCEMP1,-4.65277782715355,3.56170500133964,-20.8038037462109,4.66429898380592e-71,1.34757085052722e-68,151.136244765813
FHL5,-2.60476962271783,2.06814387798515,-20.7733038999897,6.6401657185693e-71,1.90906383961482e-68,150.784761832539
MYCT1,-2.19555110740338,3.2352013015968,-20.7619269451415,7.5751409413259e-71,2.16729930485372e-68,150.653667070877
GIMAP8,-2.50259856435739,3.71638198763312,-20.6605322988299,2.44977631243003e-70,6.9415825145193e-68,149.485663986579
LRRN3,-2.44258355713629,1.40200824874988,-20.6518271870661,2.70941898139714e-70,7.64056152753993e-68,149.38541648459
ECEL1P2,-3.09098385288988,1.46598442862877,-20.6386207143792,3.15678232282713e-70,8.85973507346597e-68,149.23334082219
DCC,-1.15824964963495,0.499532059977219,-20.6349052477803,3.29545704633832e-70,9.20510177237384e-68,149.190558355025
CYYR1,-2.20963187898825,3.70212048636405,-20.6338508165359,3.33591003157186e-70,9.27414459626331e-68,149.178417061467
FGD5,-2.21061485593063,3.23416832559062,-20.6316174228903,3.42324011491873e-70,9.47225004192866e-68,149.15270079082
EMCN,-2.73895637390664,3.04841745849934,-20.6136477057351,4.21436332970125e-70,1.16068292488754e-67,148.945801308688
AP001189.1,-1.84299812157625,0.9790381389844,-20.5685632279286,7.099590621346e-70,1.94621242809716e-67,148.42680076876
AC026369.3,-2.968933333753,1.8095231215612,-20.5673011215972,7.20399180042981e-70,1.96568920710061e-67,148.41227365772
CAVIN2,-3.66798322338979,5.18569825892234,-20.5642588051745,7.46200272729733e-70,2.02670745042143e-67,148.377256385188
LINC01506,-1.33876885386539,0.705616584708903,-20.539192857538,9.97141436586987e-70,2.6958496325488e-67,148.088769019759
FMO2,-3.50699920755608,3.96030294498958,-20.5054186850964,1.47356377579335e-69,3.94767735535039e-67,147.70012421214
STARD13,-1.8868696275261,2.67519403537372,-20.4043168977954,4.74126205751062e-69,1.25309642666171e-66,146.537198300255
SEMA6A,-2.21440109320854,1.80713462679033,-20.3958940066415,5.22591520833557e-69,1.37502227923608e-66,146.44034614079
NXPH3,-1.81162211074826,1.34063224534699,-20.3874361990514,5.76240490889973e-69,1.50944275786992e-66,146.343097582135
Z95114.3,-1.10072509250709,0.669405981897824,-20.3805253837852,6.24138116091561e-69,1.62767487992055e-66,146.263640269032
PDLIM2,-1.84362296998753,2.80545359739579,-20.3720830489066,6.88082397884995e-69,1.78652865050863e-66,146.166578917391
AC026992.2,-1.32095799406935,0.540082075659737,-20.356888321371,8.20115407410871e-69,2.1199983281571e-66,145.991898401913
CD36,-3.30923419590078,2.95490802750136,-20.3493144152969,8.95100573195384e-69,2.3037308988205e-66,145.904834065213
TNNC1,-4.04469186567098,3.97972507139908,-20.3364833551238,1.03809888698817e-68,2.6601509652743e-66,145.757346689265
PTPRB,-2.5734971847196,3.23783255423852,-20.3262198951042,1.16874972114922e-68,2.98198143138928e-66,145.639381412896
HIGD1B,-2.7781924178989,3.34014827651815,-20.2995101979003,1.59105408685436e-68,4.04196317978544e-66,145.332424153824
AGRP,-2.49502598383283,1.49222645753711,-20.2706865259962,2.21934758322356e-68,5.58991059230899e-66,145.001231838469
LRRC36,-3.00806494682343,1.67861819945437,-20.2603143887452,2.50167721877585e-68,6.27420646468983e-66,144.88206823175
RASIP1,-2.26024058775746,3.18170963935904,-20.2486341617973,2.86280508691328e-68,7.14949178866505e-66,144.747885946344
THSD1,-1.97193295627529,2.37199115348157,-20.2377321856198,3.24673147449048e-68,8.07408690478988e-66,144.622653533826
IQSEC3,-1.63722052182297,0.904114624301413,-20.237359417709,3.26073187965041e-68,8.07483258499311e-66,144.618371660475
SOX7,-2.60673351754616,2.43301245914592,-20.2333777518417,3.41409219558677e-68,8.41923706374448e-66,144.572636118228
AL390755.1,-1.19865686109129,0.508737076320442,-20.2285976420877,3.60775734906365e-68,8.85975010996307e-66,144.517730821716
C14orf132,-2.68837070962709,2.79645925445295,-20.2150183314635,4.21992298108216e-68,1.03200755460174e-65,144.361765691222
ARC,-2.35092152813324,1.18812598399503,-20.1588524865352,8.06815074326142e-68,1.95687517903844e-65,143.716824569347
AC010998.1,-1.49056358605041,0.539694431257626,-20.1338895798205,1.07606564231015e-67,2.59922773878999e-65,143.430259852594
CHIAP2,-3.10058710727007,0.98977938127515,-20.1312579538087,1.10923107996705e-67,2.6684025057591e-65,143.400052658684
FPR2,-2.53388831497785,1.68053999961791,-20.1249530517403,1.19290480557551e-67,2.85802534272396e-65,143.327683902852
EFCC1,-2.43780634365721,2.46692341441509,-20.123398916309,1.21448137552686e-67,2.89793940529563e-65,143.309845754314
AC009806.1,-1.18112590591183,0.6345028629074,-20.0697523723979,2.25459724273776e-67,5.3581230763096e-65,142.694217176914
ALAS2,-1.52195237347437,0.441880261733205,-20.0561427318561,2.6376314807778e-67,6.21826896856328e-65,142.538074894282
LINC01645,-1.48288498524302,0.612885605244832,-20.0378263083244,3.25773939456062e-67,7.64958742775355e-65,142.327956038362
ACKR4,-2.07873234891083,1.29154196512919,-20.0305459555582,3.5429295957131e-67,8.28623748064043e-65,142.244446349185
AC092691.1,-1.79567842625078,0.611268758632555,-20.0300935476236,3.56145334596953e-67,8.29663783813249e-65,142.239257123483
